iter	Logloss
0	0.6573417297
1	0.6272308289
2	0.6021097168
3	0.5808214355
4	0.5620843201
5	0.5468973328
6	0.5324895874
7	0.5206859863
8	0.5111437561
9	0.5031171021
10	0.4964317505
11	0.4900071899
12	0.4847604919
13	0.4799734375
14	0.4750893555
15	0.4718288635
16	0.4691858337
17	0.4667843323
18	0.4642835754
19	0.4623448547
20	0.4600586426
21	0.4582496033
22	0.4564560181
23	0.4550254333
24	0.454040802
25	0.4525913269
26	0.4515376892
27	0.450448175
28	0.449639679
29	0.4491252686
30	0.4485640198
31	0.4479296936
32	0.4472968994
33	0.4467838257
34	0.4461538696
35	0.4456518738
36	0.4453111328
37	0.4449346985
38	0.4444562561
39	0.4441173523
40	0.44372146
41	0.4433970825
42	0.443129425
43	0.4429108093
44	0.4425307007
45	0.4423120911
46	0.4419440735
47	0.4417080688
48	0.4413216064
49	0.4410229614
50	0.4406773132
51	0.4404836853
52	0.440279895
53	0.4400524048
54	0.4398164307
55	0.4396232178
56	0.4394093445
57	0.4392223145
58	0.4390387634
59	0.4387963074
60	0.4386061462
61	0.4384431824
62	0.4382056213
63	0.4380502075
64	0.4378803467
65	0.4377564758
66	0.4375761597
67	0.4374495483
68	0.437277124
69	0.4371237244
70	0.4369728149
71	0.4367688538
72	0.4366233582
73	0.4364706299
74	0.4363340759
75	0.436200531
76	0.4360742126
77	0.4359332642
78	0.4357738647
79	0.4356813049
80	0.4355721741
81	0.4354779602
82	0.4353012634
83	0.4351846802
84	0.4350719849
85	0.434927179
86	0.434800531
87	0.4346782104
88	0.4345210327
89	0.4343841675
90	0.4342410522
91	0.4341279968
92	0.4340266724
93	0.4339172546
94	0.4337644348
95	0.4336470703
96	0.4335473267
97	0.4334575378
98	0.4333663513
99	0.4332659607
100	0.4331774231
101	0.4330639771
102	0.4329796204
103	0.4328626221
104	0.4327500122
105	0.4326399719
106	0.4325715332
107	0.4324601074
108	0.4324066589
109	0.4323144104
110	0.4321760559
111	0.4320977356
112	0.431984491
113	0.4318908203
114	0.4318232422
115	0.4317406799
116	0.4316339722
117	0.4315748352
118	0.4314560486
119	0.4313974976
120	0.4312869995
121	0.4311897095
122	0.4310651184
123	0.4309776123
124	0.4308576843
125	0.4307257874
126	0.4306403748
127	0.4305516968
128	0.4304822144
129	0.4303519897
130	0.4302785706
131	0.4302432739
132	0.4301528198
133	0.4300252197
134	0.4298986694
135	0.4298005005
136	0.429731665
137	0.4296478271
138	0.4295830933
139	0.4295018982
140	0.4293392151
141	0.4292301941
142	0.4291463135
143	0.4290497009
144	0.4289936646
145	0.4288977295
146	0.4287421814
147	0.4286600769
148	0.4285995667
149	0.4285075806
150	0.4284331543
151	0.428322345
152	0.4282102417
153	0.4281223022
154	0.427976947
155	0.4278964417
156	0.4278119751
157	0.4277172302
158	0.4276724182
159	0.4276033813
160	0.4275324402
161	0.4274573547
162	0.4274008118
163	0.4273362061
164	0.4272090027
165	0.4271235046
166	0.4270084412
167	0.4269574036
168	0.4268801331
169	0.4268211365
170	0.426725116
171	0.4266580811
172	0.4265413391
173	0.4264840454
174	0.4264227295
175	0.4263550049
176	0.426243158
177	0.4261446106
178	0.4260509949
179	0.425936499
180	0.4258304382
181	0.4257530701
182	0.4256144592
183	0.4255108643
184	0.4254217651
185	0.4253383362
186	0.4252651428
187	0.425204248
188	0.4250643066
189	0.4249530396
190	0.424811322
191	0.4247233215
192	0.4246626587
193	0.4245411926
194	0.4244546631
195	0.4243834534
196	0.424306134
197	0.4242218994
198	0.4241110779
199	0.4240239319
200	0.4239509949
201	0.4238663635
202	0.4237565247
203	0.4236802002
204	0.4236222473
205	0.4235745667
206	0.4234992981
207	0.4233837036
208	0.4233054077
209	0.4231771545
210	0.4230718811
211	0.4229434082
212	0.4228700012
