iter	Passed	Remaining
0	200	200655
1	229	114325
2	251	83569
3	265	66069
4	287	57212
5	307	50969
6	327	46465
7	347	43077
8	369	40673
9	387	38360
10	405	36441
11	424	34937
12	444	33728
13	464	32739
14	486	31943
15	504	31023
16	524	30327
17	545	29767
18	564	29157
19	581	28493
20	599	27930
21	616	27418
22	633	26926
23	650	26443
24	665	25964
25	681	25520
26	697	25146
27	716	24873
28	735	24613
29	754	24383
30	772	24162
31	791	23956
32	810	23756
33	827	23505
34	846	23332
35	864	23147
36	880	22917
37	898	22753
38	915	22564
39	933	22400
40	950	22222
41	966	22038
42	984	21901
43	1002	21784
44	1018	21622
45	1035	21477
46	1052	21332
47	1070	21233
48	1088	21127
49	1105	21000
50	1124	20919
51	1145	20882
52	1163	20794
53	1184	20758
54	1210	20801
55	1231	20754
56	1252	20714
57	1271	20656
58	1289	20565
59	1305	20457
60	1322	20353
61	1339	20260
62	1355	20164
63	1372	20072
64	1390	20003
65	1407	19924
66	1423	19829
67	1440	19748
68	1458	19674
69	1474	19586
70	1490	19500
71	1507	19423
72	1522	19338
73	1541	19284
74	1557	19215
75	1575	19150
76	1594	19112
77	1614	19084
78	1631	19022
79	1647	18951
80	1663	18875
81	1679	18805
82	1696	18742
83	1712	18678
84	1728	18612
85	1745	18546
86	1761	18486
87	1778	18430
88	1798	18408
89	1817	18374
90	1833	18317
91	1851	18271
92	1868	18223
93	1885	18169
94	1902	18119
95	1918	18069
96	1935	18021
97	1956	18004
98	1973	17963
99	1994	17950
100	2010	17897
101	2026	17844
102	2042	17790
103	2060	17748
104	2076	17699
105	2098	17698
106	2118	17678
107	2135	17635
108	2150	17575
109	2166	17527
110	2184	17492
111	2201	17452
112	2217	17407
113	2234	17368
114	2251	17325
115	2269	17296
116	2287	17260
117	2303	17220
118	2321	17185
119	2337	17142
120	2354	17104
121	2370	17062
122	2390	17041
123	2409	17020
124	2427	16994
125	2443	16951
126	2460	16911
127	2476	16873
128	2492	16831
129	2509	16796
130	2526	16759
131	2542	16716
132	2562	16702
133	2581	16684
134	2599	16653
135	2616	16623
136	2634	16596
137	2652	16568
138	2671	16549
139	2690	16529
140	2709	16506
141	2727	16483
142	2747	16463
143	2768	16454
144	2792	16467
145	2813	16455
146	2830	16422
147	2847	16392
148	2863	16354
149	2879	16318
150	2896	16285
151	2913	16252
152	2932	16231
153	2949	16203
154	2966	16171
155	2986	16158
156	3003	16125
157	3020	16094
158	3036	16061
159	3053	16029
160	3070	16000
161	3089	15981
162	3107	15956
163	3124	15929
164	3142	15902
165	3158	15868
166	3178	15855
167	3195	15827
168	3213	15800
169	3230	15774
170	3248	15747
171	3265	15721
172	3282	15692
173	3299	15664
174	3317	15638
175	3334	15611
176	3353	15592
177	3373	15580
178	3390	15552
179	3406	15519
180	3422	15488
181	3439	15458
182	3456	15433
183	3473	15404
184	3490	15375
185	3506	15346
186	3523	15317
187	3540	15291
188	3557	15263
189	3575	15243
190	3594	15225
191	3613	15208
192	3634	15197
193	3654	15181
194	3672	15162
195	3688	15130
196	3704	15102
197	3721	15074
198	3738	15046
199	3755	15020
200	3773	15001
201	3791	14977
202	3808	14952
203	3825	14927
204	3842	14901
205	3859	14875
206	3876	14849
207	3891	14819
208	3907	14789
209	3925	14768
210	3943	14746
211	3961	14722
212	3979	14704
213	3998	14685
214	4015	14660
215	4032	14636
216	4050	14614
217	4066	14588
218	4084	14567
219	4102	14544
220	4119	14519
221	4138	14502
222	4154	14476
223	4175	14464
224	4194	14448
225	4212	14427
226	4230	14405
227	4249	14389
228	4269	14375
229	4290	14363
230	4311	14352
231	4332	14342
232	4351	14322
233	4369	14302
234	4386	14279
235	4403	14255
236	4420	14230
237	4436	14205
238	4453	14180
239	4470	14157
240	4487	14131
241	4503	14106
242	4519	14080
243	4538	14060
244	4557	14043
245	4576	14027
246	4594	14008
